Song Position,Update,Two-way Tie,Three-way Tie,No score
100,Here we go! {leader} takes the very first lead by {margin}! {loser} is stuck in the gates!,"UNBELIEVABLE! We have a tie! {name1} and {name2} share the crown! Rock, Paper, Scissors to decide the winner!","UNPRECEDENTED! A three-way tie! {name1}, {name2}, and {name3} all win the crown! Cut it into thirds!",GAME OVER (this round). You all scored 0. Hang your heads in shame.
99,And they're racing! {leader} leads by {margin}. {loser} missed the start.,Like a stubby holder and a cold one. {name1} and {name2} are hugging.,"Like a three-ring circus. {name1}, {name2}, and {name3} are clowns.",Epic fail. Put it on YouTube.
98,{leader} gets the nose in front by {margin}. {loser} is behind.,Like a beach cricket game and a dispute. {name1} and {name2} are arguing.,"Like a three-course meal. {name1}, {name2}, and {name3} are satisfying.",Wipe the slate clean? It's already clean. No points.
97,"{leader} is first to move, up by {margin}. {loser} is stationary.",Like a mullet and a moustache. {name1} and {name2} are a classic combo.,"Like a three-piece suit. {name1}, {name2}, and {name3} look sharp.",The vibe is off. The points are off. Everything is off.
96,{leader} jumps ahead by {margin}. {loser} stays back.,Like a bouncer and sneakers. {name1} and {name2} are saying 'not tonight'.,"Like a triangle solo. {name1}, {name2}, and {name3} *ding*.",Glitch in the matrix? Or just bad taste? Zero points.
95,"{leader} starts well, leading by {margin}. {loser} starts poorly.",Like a wet dog in a ute. {name1} and {name2} smell like victory.,"Like a trident. {name1}, {name2}, and {name3} are sharp.",Denied! The DJ says no.
94,"{leader} is quick, up by {margin}. {loser} is slow.",Like a possum on a roof. {name1} and {name2} are making noise together.,"Like a trilogy. {name1}, {name2}, and {name3} are an epic saga.",Spectacular failure. I'm almost impressed.
93,"{leader} is off the mark, leading by {margin}. {loser} is on zero.",Like a warm toilet seat. {name1} and {name2} are uncomfortably close.,"Like a triathalon. {name1}, {name2}, and {name3} are swimming, riding, and running.",You missed the target. You missed the barn. You missed the farm.
92,{leader} takes an early lead of {margin}. {loser} is watching.,Like a loud shirt on a Friday. {name1} and {name2} are clashing.,"Like a trifecta. {name1}, {name2}, and {name3} pay big dividends.",Ghost town. Tumbleweeds blowing across the scoreboard.
91,"{leader} is settling in, up by {margin}. {loser} is unsettled.",Like sand in your car. {name1} and {name2} are everywhere.,"Like a triple cheeseburger. {name1}, {name2}, and {name3} are heavy.",A collective brain fart. No one picked it.
90,Early days! {leader} leads by {margin}. {loser} hasn't started.,Like a free ride when you've already paid. {name1} and {name2} are confused.,"Like a triple bogey. {name1}, {name2}, and {name3} are way over par.",The silence is deafening. Scoreboard unchanged.
89,"{leader} is alert, up by {margin}. {loser} is asleep.",Like rain on a wedding day. {name1} and {name2} are ironic.,"Like a triangle choke. {name1}, {name2}, and {name3} are tapping out.",Are you even trying? Seriously?
88,"{leader} is keen, leading by {margin}. {loser} is bored.",Like a plugger and a blowout. {name1} and {name2} are a tragic pair.,"Like the stumps. {name1} is off, {name2} is leg, {name3} is middle.",Fail army has arrived. Population: You lot.
87,"{leader} is showing promise, up by {margin}. {loser} is showing nothing.",Like a magpie and a cyclist's ear. {name1} and {name2} are connecting.,"Like a three-pronged plug. {name1}, {name2}, and {name3} are grounded.",Like a warm beer. Disappointing and flat.
86,"{leader} is quick out of the blocks, leading by {margin}. {loser} is slow.",Like a ute and a aggressive bumper sticker. {name1} and {name2} go together.,"Kath, Kim and Sharon. {name1}, {name2}, and {name3} are foxy ladies.",Lost the plot. Completely.
85,"{leader} is establishing dominance early, up by {margin}. {loser} is weak.",Like a hipster and a craft beer. {name1} and {name2} are matched.,"Ed, Edd n Eddy. {name1}, {name2}, and {name3} are scamming for jawbreakers.",You all zigged when you should have zagged.
84,{leader} grabs the lead by {margin}. {loser} is chasing.,Like a boomer and a property portfolio. {name1} and {name2} are holding on tight.,"The Powerpuff Girls. {name1}, {name2}, and {name3} are saving the world.",Worse than a swooping magpie. Zero points.
83,"{leader} is moving well, leading by {margin}. {loser} is stiff.",Gravity is working on both of them. {name1} and {name2} are grounded together.,"Three little pigs. {name1}, {name2}, and {name3} are building houses.",Zip. Nada. Nuthin'. Diddly squat.
82,"{leader} is ticking over, up by {margin}. {loser} is stalled.",Like flies on a windscreen. {name1} and {name2} are stuck.,"Three wise monkeys. {name1}, {name2}, and {name3} see no evil.",Facepalm. A collective facepalm.
81,"{leader} is on the board, leading by {margin}. {loser} is waiting.",System error: Too much winning. {name1} and {name2} are tied.,"Like a juggler with three chainsaws. {name1}, {name2}, and {name3} are dangerous.",A comedy of errors. But no one is laughing.
