Rank,Quip
100,"And we're off! {artist} grabs the wooden spoon. {song} is the last kid picked for the dodgeball team, but they're in the game!"
99,"The Don's average! {artist} is batting 99.94. {song} is statistically significant."
98,"Just keeping a toe in. {artist} is barely hanging on. {song} has the grip strength of a tired sloth."
97,"Better than a poke in the eye. {artist} arrives. {song} is like a servo sandwich—it'll do the job."
96,"On the board. {artist} avoids the duck. {song} is slowly waking up like a teenager at noon."
95,"Steady on. {artist} is finding their feet. {song} is wobbling like a jelly on a plate."
94,"Yeah, alright. {artist} is present. {song} is the musical equivalent of a lukewarm handshake."
93,"Getting there. {artist} is warming the engine. {song} needs a bit of choke to get started."
92,"Not to be sneezed at. {artist} is healthy. {song} spreads faster than the flu in a kindy."
91,"Nervous 90s. {artist} survives. {song} is sweating bullets."
90,"Ten down! {artist} is celebrating. {song} is cracking a tinnie to celebrate not being last."
89,"Solid B-grade. {artist} gets a pass. {song} is doing the bare minimum to get by."
88,"Two fat ladies singing. {artist} is vocal. {song} is louder than your auntie after a sherry."
87,"Up she goes. {artist} is lifting. {song} is heavier than a bag of cement."
86,"Cruising. {artist} has the elbow out the window. {song} is watching the world go by."
85,"Staying alive. {artist} is breathing. {song} has a pulse."
84,"Hello sunshine. {artist} brings the light. {song} is brighter than a bald bloke's head in summer."
83,"Sneaking through the pack. {artist} is a dark horse. {song} pays decent odds."
82,"Fair effort. {artist} puts in a shift. {song} is working hard for the money."
81,"Climbing. {artist} breaks a sweat. {song} is getting fit."
80,"Eighty matey. {artist} is your pal. {song} is buying you a parma."
79,"Gold standard. {artist} is valuable. {song} is worth more than the Aussie dollar right now."
78,"No worries. {artist} is chill. {song} is relaxing in a hammock."
77,"Sunset strip. {artist} is glowing. {song} is a romantic walk on the beach (with beers)."
76,"Trombones. {artist} is making noise. {song} is honking along."
75,"Three quarters left. {artist} is pacing themselves. {song} is in it for the long haul."
74,"Should be top 50! {artist} got stiffed. {song} is better than this, you mugs!"
73,"Staying power. {artist} won't quit. {song} lingers like the smell of deep heat."
72,"Getting comfy. {artist} settles in. {song} has found a nice spot on the couch."
